"facility_id","data_source_id","ownership_type","landfill_owner_organization(s)","project_id","project_status","project_name","project_start_date","project_shutdown_date","project_type_category","lfg_energy_project_type","rng_delivery_method","actual_mw_generation","rated_mw_capacity","lfg_flow_to_project_mmscfd","emission_reductions_direct_mmtco2e_yr","emission_reductions_avoided_mmtco2e_yr","data_collection_year","created_date","modified_date","data_source_location_id"
6194,"7","Private","Tunnel Hill Partners","200918-0","Candidate",NULL,NULL,NULL,"Unknown","Unknown",NULL,NULL,NULL,NULL,NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
3694,"7","Public","King George County, VA","180122-0","Operational","Project #1","2010-05-01",NULL,"Electricity","Gas Turbine",NULL,"7.2","9.3","6","0.3253","0.0373","2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
3694,"7","Public","King George County, VA","180122-1","Operational","Project #1, Expansion #1","2011-01-01",NULL,"Electricity","Gas Turbine",NULL,"2.4","3.1","2","0.10843","0.01243","2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
3694,"7","Public","King George County, VA","180122-2","Operational","Project #1, Expansion #2","2012-01-01",NULL,"Electricity","Cogeneration",NULL,"0","0","0",NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
6048,"7","Private","Republic Services, Inc.","101883-0","Shutdown","Project #1","2002-10-10","2021-05-31","Electricity","Reciprocating Engine",NULL,"3.33","5.4",NULL,NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
6048,"7","Private","Republic Services, Inc.","101883-1","Shutdown","Project #1, Expansion #1","2003-05-01","2021-05-31","Electricity","Reciprocating Engine",NULL,"1.67","2.7",NULL,NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
6048,"7","Private","Republic Services, Inc.","101883-2","Shutdown","Project #1, Expansion #2","2015-10-01","2021-05-31","Electricity","Reciprocating Engine",NULL,"0.23","1.324",NULL,NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
6048,"7","Private","Republic Services, Inc.","201450-0","Planned","Project #2","2022-12-31",NULL,"Renewable Natural Gas","Vehicle Fuel","Pipeline Injection",NULL,NULL,NULL,NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
4344,"7","Private","WM","167127-0","Shutdown","Project #1","2008-12-01","2016-12-31","Electricity","Reciprocating Engine",NULL,"2.63","3.2","1.68",NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
4344,"7","Private","WM","167127-1","Operational","Project #1, De-Expansion #1","2017-01-01",NULL,"Electricity","Reciprocating Engine",NULL,"1.32","1.6","0.73","0.05964","0.00684","2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
1888,"7","Public","King County Solid Waste Division, WA","1685-0","Operational","Project #1","2010-10-01","2011-03-01","Renewable Natural Gas","Vehicle Fuel","Pipeline Injection",NULL,NULL,"10.6","0.92794","0.08364","2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
1888,"7","Public","King County Solid Waste Division, WA","1685-1","Operational","Project #1, Expansion #1","2013-01-01",NULL,"Renewable Natural Gas","Vehicle Fuel","Pipeline Injection",NULL,NULL,"1.4","0.12256","0.01105","2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
4316,"7","Private","WM","462-0","Shutdown","Project #1","1989-05-01","2012-12-31","Electricity","Combined Cycle",NULL,"7.2","11.3",NULL,NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
4316,"7","Private","WM","462-1","Operational","Project #1, De-Expansion #1","2013-01-01",NULL,"Electricity","Gas Turbine",NULL,"5","9.3",NULL,"0.2259","0.02591","2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
5306,"7","Private","Republic Services, Inc.","1704-0","Shutdown","Project #1","1999-06-01","2011-09-01","Electricity","Reciprocating Engine",NULL,"8.4",NULL,"4",NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
5306,"7","Private","Republic Services, Inc.","1704-1","Shutdown","Project #1, Expansion #1","2000-06-01","2011-09-01","Electricity","Reciprocating Engine",NULL,"2.1",NULL,"1",NULL,NULL,"2022","2023-12-08 22:44:44.232941","2024-04-09 16:30:20.667868",12
